"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"11","#FreeKhaledaZia https://t.co/hQpoCnsnUi",FALSE,2,NA,2018-03-09 15:47:46,FALSE,NA,"972136874557915136",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","haidersuman",0,FALSE,FALSE,NA,NA
"12","@USAmbBangladesh @LisaCurtisHF
People's voluntarily extensive Participation in the peaceful movement for the releas… https://t.co/RfASR7tCgQ",FALSE,0,"USAmbBangladesh",2018-03-09 15:47:05,TRUE,NA,"972136700880175104","3152281200","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","haidersuman",0,FALSE,FALSE,NA,NA
"13","#FreeKhaledaZia https://t.co/pJ7AMHMkd0",FALSE,1,NA,2018-03-09 15:41:09,FALSE,NA,"972135207317860353",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","haidersuman",0,FALSE,FALSE,NA,NA
"14","#FreeKhaledaZia https://t.co/D2Y53DvU3b",FALSE,2,NA,2018-03-09 15:40:26,FALSE,NA,"972135025851314176",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","haidersuman",0,FALSE,FALSE,NA,NA
"15","#SaveBangladesh 
#FreeKhaledaZia 
There is no rule of law and humanity in #Bangladesh under fascist Hasina govt. Op… https://t.co/4kUTyxDuEU",FALSE,3,NA,2018-03-09 15:36:35,TRUE,NA,"972134057797545989",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MiaziArif",1,FALSE,FALSE,NA,NA
"16","#Stop using the state armed forces against innocent people of the country.
#Stop arrest &amp; Stop killing democratic a… https://t.co/lChyKD8zbA",FALSE,10,NA,2018-03-09 15:35:32,TRUE,NA,"972133793900380161",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","atiq_impex",2,FALSE,FALSE,NA,NA
"17","#Stop using the state armed forces against innocent people of the country.
#Stop arrest &amp; Stop killing democratic a… https://t.co/8sJr5rZ1U4",FALSE,1,NA,2018-03-09 15:27:57,TRUE,NA,"972131885701783553",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MDShahA90680368",2,FALSE,FALSE,NA,NA
"18","@atiq_impex @VOANews @AJEnglish @amnesty @cnni #Stop using the state armed forces against innocent people of the co… https://t.co/kkjRIWISme",FALSE,2,"atiq_impex",2018-03-09 15:25:57,TRUE,"971976273634316288","972131383735808000","125252041","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MDShahA90680368",1,FALSE,FALSE,NA,NA
"19","#FreeKhaledaZia
#RestoreDemocracy
#SaveBangladesh https://t.co/3e8LpoBtsO",FALSE,1,NA,2018-03-09 15:23:55,FALSE,NA,"972130871019847681",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NurHossainBabu",0,FALSE,FALSE,NA,NA
"20","#SaveBangladesh 
#FreeKhaledaZia 
This is the natural and regular scene of #Bangladesh. Where is our #Humanity? Who… https://t.co/aHKR0qbyIz",FALSE,4,NA,2018-03-09 15:22:56,TRUE,NA,"972130622742315008",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MiaziArif",2,FALSE,FALSE,NA,NA
"21","The Bangladesh Nationalist Party (BNP) on Friday alleged that law enforcers violated the Supreme Court's (SC's) dir… https://t.co/f07Rt3Y7EQ",FALSE,0,NA,2018-03-09 15:21:48,TRUE,NA,"972130337240227840",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Nizamud16647023",1,FALSE,FALSE,NA,NA
"22","“Those who are thinking of holding an election with #KhaledaZia behind bars are living in a fools paradise,” Mirza… https://t.co/RGxKpQ5DcV",FALSE,9,NA,2018-03-09 15:09:00,TRUE,NA,"972127116702527489",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","basherkella",1,FALSE,FALSE,NA,NA
"23","#Bangladesh oppositional  JCD north president s.m mizanur rahman being dragged by detectives from a peaceful sit-in… https://t.co/m5ZvKHRIbB",FALSE,0,NA,2018-03-09 14:48:45,TRUE,NA,"972122018635280384",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","ChowdhuryHashan",0,FALSE,FALSE,NA,NA
"24","Like the recommendation of #UN Assistant Secretary General Fernandez, the next election for Bangladesh will be retw… https://t.co/a3A6EPJP1k",FALSE,1,NA,2018-03-09 14:30:33,TRUE,NA,"972117438736158721",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Nizamud16647023",0,FALSE,FALSE,NA,NA
"25","#FreeKhaledaZia #PeacefulProtestBD https://t.co/IThxq2GDBx",FALSE,4,NA,2018-03-09 13:50:56,FALSE,NA,"972107470544896000",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","haidersuman",0,FALSE,FALSE,NA,NA
"26","#FreeKhaledaZia https://t.co/99oHqzTDtM",FALSE,2,NA,2018-03-09 13:47:25,FALSE,NA,"972106585911697408",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","haidersuman",0,FALSE,FALSE,NA,NA
"27","October 30,1989
 https://t.co/1YKCahbMWq
বাংলাদেশের রাষ্ট্রপতি জিয়াউর রহমান ভয়ানক সমস্যাগুলির বিরুদ্ধে যুদ্ধ ঘোষ… https://t.co/7DU88b8U4p",FALSE,8,NA,2018-03-09 13:47:12,TRUE,NA,"972106532690190336",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MMCmilon",1,FALSE,FALSE,NA,NA
"28","#FreeKhaledaZia https://t.co/ijj5OlyKr9",FALSE,1,NA,2018-03-09 13:46:52,FALSE,NA,"972106446547468288",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","haidersuman",0,FALSE,FALSE,NA,NA
"29","Police attack on #peaceful sit-in programme of opposition party #Bangladesh Nationalist Party #BNP.… https://t.co/hBF8by1wz7",FALSE,4,NA,2018-03-09 13:30:23,TRUE,NA,"972102297164570624",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","zahir_bd",1,FALSE,FALSE,NA,NA
"30","#KhaledaZia’s lawyer Advocate Zainul Abedin hoped that the #BNP chairperson @BegumZiaBd will get bail in… https://t.co/eNstTuihB4",FALSE,1,NA,2018-03-09 13:29:00,TRUE,NA,"972101951054688256",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","TanvirMadber",0,FALSE,FALSE,NA,NA
"31","#SaveBangladesh 
#FreeKhaledaZia 
""Hey The World of Humanity, do you see the tears of Bangladesh? 
@UN… https://t.co/DsZOBT94nu",FALSE,2,NA,2018-03-09 13:23:38,TRUE,NA,"972100600362975232",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MiaziArif",1,FALSE,FALSE,NA,NA
